Initial Balance: 100000.0
Mafruha Tandra registered with 6000.0 taka!
20000.0 taka salary paid to T003!
20000.0 taka salary paid to T004!
borshon newaz registered with 6000.0 taka!
luna helal registered with 6000.0 taka!
md helal registered with 6000.0 taka!
sneha senmoni registered with 6000.0 taka!
radhika sen registered with 6000.0 taka!
sayem khan registered with 6000.0 taka!
mrittika jahan registered with 6000.0 taka!
luna newaz registered with 6000.0 taka!
lovely sen registered with 6000.0 taka!
borshon newaz registered with 6000.0 taka!
priyanka chopra registered with 6000.0 taka!
deepika padukone registered with 6000.0 taka!
nishat preownti registered with 6000.0 taka!
karim eshat registered with 6000.0 taka!
sadika imu registered with 6000.0 taka!
shohag khan registered with 6000.0 taka!
gazi hasan registered with 6000.0 taka!
rasel mahmud registered with 6000.0 taka!
nishat prewonti registered with 6000.0 taka!
mm nn registered with 6000.0 taka!
ss tt registered with 6000.0 taka!
rumy Parvez registered with 6000.0 taka!
Auhona Ahsan registered with 6000.0 taka!
Fairuz Lubana registered with 6000.0 taka!
Tanzia Rahman registered with 6000.0 taka!
Ahasanul Haque registered with 6000.0 taka!
