Class 1,mrittika@gmail.com,Present
Class 1,mafruha@gmail.com,Absent
Class 1,borshon@gmail.com,Absent
Class 1,luna@gmail.com,Absent
Class 2,mrittika@gmail.com,Absent
Class 2,mafruha@gmail.com,Absent
Class 2,borshon@gmail.com,Absent
Class 2,luna@gmail.com,Absent
Class 3,mrittika@gmail.com,Present
Class 3,mafruha@gmail.com,Absent
Class 3,borshon@gmail.com,Absent
Class 3,luna@gmail.com,Absent
Class 4,mrittika@gmail.com,Present
Class 4,mafruha@gmail.com,Absent
Class 4,borshon@gmail.com,Absent
Class 4,luna@gmail.com,Absent
Class 1,mdhelal@gmail.com,Absent
Class 5,mrittika@gmail.com,Present
Class 5,mafruha@gmail.com,Absent
Class 5,borshon@gmail.com,Absent
Class 5,luna@gmail.com,Absent
Class 2,mdhelal@gmail.com,Absent
Class 3,mdhelal@gmail.com,Present
Class 4,mdhelal@gmail.com,Absent
Class 5,mdhelal@gmail.com,Absent
Class 1,radhika@gmail.com,Present
Class 2,radhika@gmail.com,Present
Class 3,radhika@gmail.com,Present
Class 4,radhika@gmail.com,Present
Class 5,radhika@gmail.com,Present
Class 2,sayem@gmail.com,Absent
Class 1,sayem@gmail.com,Absent
Class 3,sayem@gmail.com,Absent
Class 4,sayem@gmail.com,Absent
Class 5,sayem@gmail.com,Absent
Class 1,lovely@gmail.com,Absent
Class 2,lovely@gmail.com,Absent
Class 3,lovely@gmail.com,Absent
Class 4,lovely@gmail.com,Present
Class 5,lovely@gmail.com,Absent
Class 1,priyanka@gmail.com,Absent
Class 2,priyanka@gmail.com,Absent
Class 3,priyanka@gmail.com,Absent
Class 4,priyanka@gmail.com,Present
Class 5,priyanka@gmail.com,Absent
Class 1,deepika@gmail.com,Absent
Class 2,deepika@gmail.com,Present
Class 3,deepika@gmail.com,Absent
Class 4,deepika@gmail.com,Absent
Class 5,deepika@gmail.com,Absent
Class 6,prewonti@gmail.com,Present
Class 6,mm@gmail.com,Present
Class 6,ss@gmail.com,Present
Class 7,prewonti@gmail.com,Absent
Class 7,mm@gmail.com,Present
Class 7,ss@gmail.com,Absent
Class 8,prewonti@gmail.com,Absent
Class 8,mm@gmail.com,Present
Class 8,ss@gmail.com,Absent
Class 1,prewonti@gmail.com,Absent
Class 1,mm@gmail.com,Absent
Class 1,ss@gmail.com,Absent
Class 1,mrittika@gmail.com,Present
Class 8,mm@gmail.com,Absent
Class 8,ss@gmail.com,Absent
Class 8,mrittika@gmail.com,Absent
Class 8,borshon@gmail.com,Absent
Class 8,rumy@gmail.com,Absent
class 9,prewonti@gmail.com,Absent
class 9,mm@gmail.com,Absent
class 9,ss@gmail.com,Absent
class 9,mrittika@gmail.com,Absent
class 9,borshon@gmail.com,Absent
class 9,rumy@gmail.com,Absent
class 10,prewonti@gmail.com,Absent
class 10,mm@gmail.com,Absent
class 10,ss@gmail.com,Absent
class 10,mrittika@gmail.com,Present
class 10,borshon@gmail.com,Absent
class 10,rumy@gmail.com,Present
class 11,M-01,Present
class 11,M-02,Absent
class 11,M-03,Present
class 11,M-04,Absent
class 11,M-05,Present
Class 3,M-01,Present
Class 3,M-02,Absent
Class 3,M-03,Absent
Class 3,M-04,Absent
Class 3,M-05,Absent
Class 3,M-06,Absent
Class 3,M-07,Absent
Class 1,M-01,Present
Class 1,M-02,Absent
Class 1,M-03,Absent
Class 1,M-04,Absent
Class 1,M-05,Absent
Class 1,M-06,Absent
Class 1,M-07,Absent
